Data Store	Retrieval & Decryption	Sum computation	Total
Experiment number #0
S3	16712.0	25.0	16737.0
S3	17171.0	28.0	17199.0
S3	16032.0	24.0	16056.0
S3	17163.0	23.0	17186.0
S3	17569.0	23.0	17592.0
S3	16776.0	23.0	16799.0
S3	16903.0	27.0	16930.0
S3	17671.0	26.0	17697.0
S3	16909.0	26.0	16935.0
S3	17075.0	27.0	17102.0
S3	19055.0	35.0	19090.0
S3	17772.0	28.0	17800.0
S3	17310.0	26.0	17336.0
S3	18962.0	33.0	18995.0
S3	18798.0	26.0	18824.0
S3	19031.0	31.0	19062.0
S3	17415.0	28.0	17443.0
S3	18954.0	26.0	18980.0
S3	16595.0	27.0	16622.0
S3	16724.0	24.0	16748.0
S3	17962.0	27.0	17989.0
S3	17085.0	29.0	17114.0
S3	17303.0	29.0	17332.0
S3	17919.0	28.0	17947.0
S3	16714.0	27.0	16741.0
S3	18901.0	27.0	18928.0
S3	17120.0	24.0	17144.0
S3	17170.0	25.0	17195.0
S3	18127.0	28.0	18155.0
S3	17520.0	27.0	17547.0
S3	17449.0	27.0	17476.0
S3	18361.0	30.0	18391.0
S3	17188.0	27.0	17215.0
S3	17156.0	30.0	17186.0
S3	18717.0	28.0	18745.0
S3	17273.0	31.0	17304.0
S3	18396.0	27.0	18423.0
S3	18536.0	28.0	18564.0
S3	19938.0	29.0	19967.0
S3	17525.0	27.0	17552.0
S3	18882.0	29.0	18911.0
S3	21411.0	25.0	21436.0
S3	18649.0	25.0	18674.0
S3	17159.0	25.0	17184.0
S3	18334.0	24.0	18358.0
S3	17665.0	26.0	17691.0
S3	17268.0	24.0	17292.0
S3	17802.0	28.0	17830.0
S3	17753.0	27.0	17780.0
S3	17518.0	24.0	17542.0
S3	17061.0	26.0	17087.0
S3	17468.0	32.0	17500.0
S3	17901.0	25.0	17926.0
S3	17902.0	34.0	17936.0
S3	17934.0	26.0	17960.0
S3	18305.0	31.0	18336.0
S3	18433.0	46.0	18479.0
S3	18449.0	26.0	18475.0
S3	17960.0	30.0	17990.0
S3	18936.0	27.0	18963.0
S3	17754.0	30.0	17784.0
S3	19075.0	40.0	19115.0
S3	17787.0	29.0	17816.0
S3	17852.0	27.0	17879.0
S3	18411.0	40.0	18451.0
S3	17767.0	30.0	17797.0
S3	18935.0	29.0	18964.0
S3	18916.0	31.0	18947.0
S3	18604.0	29.0	18633.0
S3	19353.0	28.0	19381.0
S3	17768.0	31.0	17799.0
S3	18188.0	31.0	18219.0
S3	20400.0	30.0	20430.0
TreeDB+S3	76.0	0.0	76.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	19.0	0.0	19.0
TreeDB+S3	16.0	0.0	16.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	11.0	0.0	11.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	12.0	0.0	12.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	13.0	0.0	13.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	14.0	0.0	14.0
TreeDB+S3	15.0	0.0	15.0
TreeDB+S3	12.0	0.0	12.0
