Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	0.96	0.38	0.12	1.46
TimeCrypt Baseline	0.99	0.39	0.12	1.49
TimeCrypt Baseline	9.00	0.41	0.14	9.56
TimeCrypt Baseline	0.98	0.40	0.14	1.52
TimeCrypt Baseline	1.05	0.47	0.13	1.64
TimeCrypt Baseline	0.97	0.41	0.13	1.51
TimeCrypt Baseline	0.98	0.41	8.15	9.53
TimeCrypt Baseline	1.02	0.45	0.15	1.62
TimeCrypt Baseline	1.00	0.46	0.14	1.60
TimeCrypt Baseline	1.03	0.45	0.17	1.65
TimeCrypt Baseline	0.92	0.45	0.15	1.52
TimeCrypt Baseline	0.92	0.47	0.15	1.53
TimeCrypt Baseline	11.35	0.49	0.15	11.99
TimeCrypt Baseline	0.96	0.47	0.15	1.59
TimeCrypt Baseline	0.90	0.49	0.15	1.54
TimeCrypt Baseline	0.91	0.44	0.13	1.48
TimeCrypt Baseline	0.95	0.45	0.13	1.54
TimeCrypt Baseline	0.91	0.53	0.17	1.61
TimeCrypt Baseline	0.98	0.51	0.14	1.63
TimeCrypt Baseline	0.95	0.52	0.14	1.61
TimeCrypt Baseline	0.91	0.52	0.14	1.58
TimeCrypt Baseline	8.93	0.56	0.16	9.66
TimeCrypt Baseline	0.96	0.58	0.16	1.70
TimeCrypt Baseline	0.96	0.57	0.14	1.67
TimeCrypt Baseline	0.94	0.56	9.96	11.46
TimeCrypt Baseline	0.97	0.58	0.15	1.70
TimeCrypt Baseline	0.95	0.57	0.16	1.68
TimeCrypt Baseline	0.95	9.09	0.17	10.21
TimeCrypt Baseline	1.02	0.55	0.19	1.76
TimeCrypt Baseline	3.42	0.63	0.19	4.24
TimeCrypt Baseline	1.00	0.60	0.17	1.77
TimeCrypt Baseline	0.95	0.62	0.16	1.74
TimeCrypt Baseline	0.95	0.62	0.16	1.72
TimeCrypt Baseline	0.96	0.62	0.20	1.78
TimeCrypt Baseline	0.95	0.66	0.17	1.77
TimeCrypt Baseline	0.99	0.64	0.20	1.82
TimeCrypt Baseline	0.94	0.69	0.17	1.80
