Data Store	Retrieval	Decode & Decryption	Sum computation	Total
Experiment number #0
*** Baseline SUM ***
TimeCrypt Baseline	3.53	4.46	1.09	9.08
TimeCrypt Baseline	3.54	4.45	1.10	9.10
TimeCrypt Baseline	3.66	14.14	1.08	18.88
TimeCrypt Baseline	3.94	4.50	1.10	9.54
TimeCrypt Baseline	3.63	4.47	1.12	9.22
TimeCrypt Baseline	3.63	4.45	1.09	9.18
TimeCrypt Baseline	3.56	4.48	1.12	9.16
TimeCrypt Baseline	2.63	4.47	1.10	8.20
TimeCrypt Baseline	3.50	4.48	1.12	9.11
TimeCrypt Baseline	3.66	4.48	1.09	9.24
TimeCrypt Baseline	3.61	4.49	1.10	9.20
TimeCrypt Baseline	3.55	4.48	9.60	17.63
TimeCrypt Baseline	5.67	4.56	1.15	11.38
TimeCrypt Baseline	3.69	4.51	1.13	9.33
TimeCrypt Baseline	3.38	4.83	1.17	9.38
TimeCrypt Baseline	5.93	4.53	1.14	11.60
TimeCrypt Baseline	3.45	4.53	1.19	9.16
TimeCrypt Baseline	3.42	4.52	1.12	9.06
TimeCrypt Baseline	3.39	4.53	1.13	9.05
TimeCrypt Baseline	3.42	4.52	1.11	9.06
TimeCrypt Baseline	3.52	13.73	1.15	18.40
TimeCrypt Baseline	4.25	4.61	1.14	10.00
TimeCrypt Baseline	3.63	4.54	1.14	9.31
TimeCrypt Baseline	3.51	4.54	1.19	9.24
TimeCrypt Baseline	3.42	4.60	1.20	9.22
TimeCrypt Baseline	3.47	4.56	1.13	9.16
TimeCrypt Baseline	3.45	4.59	1.15	9.18
TimeCrypt Baseline	3.46	4.57	1.14	9.18
TimeCrypt Baseline	3.54	4.58	1.13	9.25
TimeCrypt Baseline	3.53	4.60	1.13	9.27
TimeCrypt Baseline	14.09	4.41	1.12	19.63
TimeCrypt Baseline	4.03	4.65	1.15	9.84
TimeCrypt Baseline	3.52	4.59	1.15	9.26
TimeCrypt Baseline	3.65	4.59	1.15	9.39
TimeCrypt Baseline	3.46	4.59	1.14	9.19
TimeCrypt Baseline	3.47	4.63	1.14	9.24
TimeCrypt Baseline	3.64	4.61	1.15	9.40

*** Baseline MAX ***
TimeCrypt Baseline	13.63	0.21	0.06	13.91
TimeCrypt Baseline	1.13	0.12	0.04	1.29
TimeCrypt Baseline	1.04	0.08	0.05	1.17
TimeCrypt Baseline	1.01	0.11	0.07	1.18
TimeCrypt Baseline	9.53	0.15	0.06	9.74
TimeCrypt Baseline	1.02	0.15	0.07	1.23
TimeCrypt Baseline	3.43	0.17	0.08	3.68
TimeCrypt Baseline	1.25	0.18	4.74	6.17
TimeCrypt Baseline	1.07	0.25	1.90	3.22
TimeCrypt Baseline	1.05	0.67	0.59	2.31
TimeCrypt Baseline	1.10	0.75	4.92	6.77
TimeCrypt Baseline	1.17	0.28	0.49	1.94
TimeCrypt Baseline	1.06	0.72	0.06	1.85
TimeCrypt Baseline	1.08	14.47	0.07	15.61
TimeCrypt Baseline	1.15	0.28	0.08	1.51
TimeCrypt Baseline	3.54	0.34	0.08	3.97
TimeCrypt Baseline	1.08	0.32	0.08	1.48
TimeCrypt Baseline	1.07	0.32	0.09	1.49
TimeCrypt Baseline	8.52	0.39	0.09	9.00
TimeCrypt Baseline	1.10	0.32	0.09	1.52
TimeCrypt Baseline	1.10	0.34	0.10	1.54
TimeCrypt Baseline	1.10	0.34	0.10	1.54
TimeCrypt Baseline	1.12	0.37	0.11	1.59
TimeCrypt Baseline	9.15	0.28	0.11	9.54
TimeCrypt Baseline	1.06	0.25	0.14	1.45
TimeCrypt Baseline	1.06	0.25	0.11	1.42
TimeCrypt Baseline	1.06	0.26	0.09	1.41
TimeCrypt Baseline	1.08	0.26	0.09	1.42
TimeCrypt Baseline	8.45	0.28	0.09	8.82
TimeCrypt Baseline	1.06	0.26	0.09	1.41
TimeCrypt Baseline	1.03	0.27	0.09	1.39
TimeCrypt Baseline	1.04	0.35	0.09	1.48
TimeCrypt Baseline	1.06	0.30	0.10	1.46
TimeCrypt Baseline	1.06	8.25	0.10	9.41
TimeCrypt Baseline	1.20	0.25	0.11	1.56
TimeCrypt Baseline	1.08	0.26	0.28	1.62
TimeCrypt Baseline	1.08	0.28	0.11	1.47
TimeCrypt Baseline	1.08	0.27	0.11	1.46
TimeCrypt Baseline	8.76	0.32	0.12	9.19
TimeCrypt Baseline	1.08	0.28	0.11	1.48
TimeCrypt Baseline	1.06	0.29	0.12	1.48
TimeCrypt Baseline	1.08	0.30	0.12	1.51
TimeCrypt Baseline	1.98	0.31	0.13	2.42
TimeCrypt Baseline	9.97	0.33	0.13	10.43
TimeCrypt Baseline	2.01	0.34	0.14	2.48
TimeCrypt Baseline	1.87	0.33	0.13	2.34
TimeCrypt Baseline	6.99	0.35	0.13	7.47
TimeCrypt Baseline	1.89	0.34	0.16	2.39
TimeCrypt Baseline	1.97	0.36	0.13	2.45
TimeCrypt Baseline	12.97	0.39	0.14	13.50
TimeCrypt Baseline	1.15	0.40	0.17	1.72
TimeCrypt Baseline	1.12	0.40	0.14	1.66
TimeCrypt Baseline	1.11	0.42	0.15	1.68
TimeCrypt Baseline	1.12	0.42	0.15	1.69
TimeCrypt Baseline	1.11	0.44	0.18	1.73
TimeCrypt Baseline	9.18	0.46	0.14	9.78
TimeCrypt Baseline	1.14	0.40	0.16	1.69
TimeCrypt Baseline	1.16	0.42	0.21	1.79
TimeCrypt Baseline	1.13	0.41	0.13	1.68
TimeCrypt Baseline	1.12	8.45	0.16	9.74
TimeCrypt Baseline	1.19	0.43	0.14	1.76
TimeCrypt Baseline	1.13	0.45	0.14	1.72
TimeCrypt Baseline	1.13	0.43	0.15	1.72
TimeCrypt Baseline	1.18	0.50	0.16	1.85
TimeCrypt Baseline	1.17	0.50	0.15	1.81
TimeCrypt Baseline	1.14	0.46	0.16	1.76
TimeCrypt Baseline	1.09	0.48	0.15	1.71
TimeCrypt Baseline	1.06	0.47	0.15	1.68
TimeCrypt Baseline	9.14	0.51	0.15	9.80
TimeCrypt Baseline	1.12	0.50	0.16	1.77
TimeCrypt Baseline	1.11	0.65	0.15	1.92
TimeCrypt Baseline	1.08	0.51	0.16	1.75
TimeCrypt Baseline	9.06	0.52	0.17	9.76
TimeCrypt Baseline	1.09	0.52	0.18	1.79
TimeCrypt Baseline	1.06	0.46	0.16	1.67
TimeCrypt Baseline	1.03	0.45	0.17	1.66
TimeCrypt Baseline	9.06	0.47	0.15	9.69
TimeCrypt Baseline	1.09	0.46	0.17	1.72
TimeCrypt Baseline	1.10	0.47	0.15	1.72
TimeCrypt Baseline	1.05	0.47	0.16	1.68
TimeCrypt Baseline	1.85	0.49	0.24	2.58
TimeCrypt Baseline	2.01	12.49	0.17	14.67
TimeCrypt Baseline	1.95	0.49	0.16	2.61
TimeCrypt Baseline	1.93	0.53	0.17	2.63
TimeCrypt Baseline	1.80	8.54	0.18	10.52
