Enc(Paillier): 0.337	Enc(EC ElGamal): 0.008	Enc(OPE): 4.835	Enc(ORE): 0.003
Dec(Paillier): 0.138	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.357	Enc(EC ElGamal): 0.008	Enc(OPE): 4.063	Enc(ORE): 0.002
Dec(Paillier): 0.132	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.348	Enc(EC ElGamal): 0.009	Enc(OPE): 6.964	Enc(ORE): 0.003
Dec(Paillier): 0.135	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.323	Enc(EC ElGamal): 0.010	Enc(OPE): 4.622	Enc(ORE): 0.002
Dec(Paillier): 0.136	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.379	Enc(EC ElGamal): 0.009	Enc(OPE): 4.545	Enc(ORE): 0.003
Dec(Paillier): 0.131	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.346	Enc(EC ElGamal): 0.076	Enc(OPE): 4.985	Enc(ORE): 0.002
Dec(Paillier): 0.135	Dec(EC ElGamal): 0.018	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.015	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.329	Enc(EC ElGamal): 0.008	Enc(OPE): 5.131	Enc(ORE): 0.003
Dec(Paillier): 0.136	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.365	Enc(EC ElGamal): 0.008	Enc(OPE): 4.944	Enc(ORE): 0.002
Dec(Paillier): 0.149	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.351	Enc(EC ElGamal): 0.011	Enc(OPE): 4.591	Enc(ORE): 0.002
Dec(Paillier): 0.134	Dec(EC ElGamal): 0.010	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.335	Enc(EC ElGamal): 0.008	Enc(OPE): 4.558	Enc(ORE): 0.002
Dec(Paillier): 0.129	Dec(EC ElGamal): 0.008	Dec(OPE): 0.003	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.343	Enc(EC ElGamal): 0.008	Enc(OPE): 4.771	Enc(ORE): 0.002
Dec(Paillier): 0.130	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.318	Enc(EC ElGamal): 0.008	Enc(OPE): 4.597	Enc(ORE): 0.002
Dec(Paillier): 0.138	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.361	Enc(EC ElGamal): 0.011	Enc(OPE): 5.235	Enc(ORE): 0.002
Dec(Paillier): 0.137	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.325	Enc(EC ElGamal): 0.008	Enc(OPE): 5.096	Enc(ORE): 0.002
Dec(Paillier): 0.133	Dec(EC ElGamal): 0.008	Dec(OPE): 0.002	Dec(ORE): 0.001
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.323	Enc(EC ElGamal): 0.008	Enc(OPE): 4.618	Enc(ORE): 0.002
Dec(Paillier): 0.140	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.350	Enc(EC ElGamal): 0.008	Enc(OPE): 5.142	Enc(ORE): 0.002
Dec(Paillier): 0.150	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.323	Enc(EC ElGamal): 0.009	Enc(OPE): 4.949	Enc(ORE): 0.003
Dec(Paillier): 0.142	Dec(EC ElGamal): 0.010	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.318	Enc(EC ElGamal): 0.011	Enc(OPE): 4.926	Enc(ORE): 0.002
Dec(Paillier): 0.145	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.369	Enc(EC ElGamal): 0.009	Enc(OPE): 5.128	Enc(ORE): 0.002
Dec(Paillier): 0.170	Dec(EC ElGamal): 0.009	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.007	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.387	Enc(EC ElGamal): 0.009	Enc(OPE): 5.197	Enc(ORE): 0.003
Dec(Paillier): 0.215	Dec(EC ElGamal): 0.010	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.009	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.421	Enc(EC ElGamal): 0.009	Enc(OPE): 4.588	Enc(ORE): 0.003
Dec(Paillier): 0.143	Dec(EC ElGamal): 0.015	Dec(OPE): 0.003	Dec(ORE): 0.002
Operation(Paillier): 0.000	Operation(EC ElGamal): 0.006	Operation(OPE): 0.000	Operation(ORE): 0.000
Enc(Paillier): 0.376	Enc(EC ElGamal): 0.016	Enc(OPE): 6.684	Enc(ORE): 0.002
Dec(Paillier): 0.137	Dec(EC ElGamal): 0.009	Dec(OPE): 0.002	Dec(ORE): 0.002
